Address,Status,Property Type,Price,Price per sqft,HOA Fees,Bed,Bath,Size,Lot Size,Garage,Year Built,Load DateTime,Street,City,State,Zip
"848 Cinnamon Ln Unit 41, Duarte, CA 91010",Pending,Condo,369000,412,400,2,1.0,896,1.96acre lot,2,1984,Thu Sep 30 16:46:41 2021,848 Cinnamon Ln Unit 41, Duarte,CA,91010
"1020 Bradbourne Ave Spc 47, Duarte, CA 91010",For Sale,No Info,90000,No Info,No Info,1,1.0,540,No Info,No Info,No Info,Thu Sep 30 16:46:41 2021,1020 Bradbourne Ave Spc 47, Duarte,CA,91010
"837 Junipero Dr, Duarte, CA 91010",For Sale,No Info,470000,No Info,No Info,2,1.0,832,"6,695sqft lot",No Info,No Info,Thu Sep 30 16:46:41 2021,837 Junipero Dr, Duarte,CA,91010
"827 Cinnamon Ln Unit 3, Duarte, CA 91010",Contingent,No Info,406000,No Info,No Info,2,1.0,896,0.26acre lot,No Info,No Info,Thu Sep 30 16:46:41 2021,827 Cinnamon Ln Unit 3, Duarte,CA,91010
"1020 Bradbourne Ave Spc 18, Duarte, CA 91010",For Sale,Mfd/Mobile,199900,192,400,2,2.0,"1,040",No Info,2,2021,Thu Sep 30 16:46:41 2021,1020 Bradbourne Ave Spc 18, Duarte,CA,91010
"824 Cinnamon Ln, Duarte, CA 91010",Pending,Condo,418000,421,400,2,2.0,993,1.9acre lot,2,1983,Thu Sep 30 16:46:41 2021,824 Cinnamon Ln, Duarte,CA,91010
"830 Cinnamon Ln, Duarte, CA 91010",Contingent,Condo,399000,402,400,2,2.0,993,1.9acre lot,2,1983,Thu Sep 30 16:46:41 2021,830 Cinnamon Ln, Duarte,CA,91010
"316 Benrud St, Duarte, CA 91010",For Sale,Single Family,680000,738,400,3,1.0,922,"7,165sqft lot",1,1949,Thu Sep 30 16:46:41 2021,316 Benrud St, Duarte,CA,91010
"2415 Flagstone Ave, Duarte, CA 91010",Contingent,Single Family,465000,414,400,3,1.0,"1,122","8,636sqft lot",1,1960,Thu Sep 30 16:46:41 2021,2415 Flagstone Ave, Duarte,CA,91010
"1702 1st St, Duarte, CA 91010",For Sale,Multi-Family,750000,599,400,No Info,2.0,"1,252","5,350sqft lot",1,1928,Thu Sep 30 16:46:41 2021,1702 1st St, Duarte,CA,91010
"1907 Shamrock Ave, Duarte, CA 91010",Pending,Single Family,599900,446,400,2,2.0,"1,344","8,345sqft lot",2,1950,Thu Sep 30 16:46:41 2021,1907 Shamrock Ave, Duarte,CA,91010
"2010 Park Rose Ave, Duarte, CA 91010",For Sale,Single Family,720000,490,400,3,2.0,"1,468","7,122sqft lot",2,1949,Thu Sep 30 16:46:41 2021,2010 Park Rose Ave, Duarte,CA,91010
"826 Cinnamon Ln, Duarte, CA 91010",For Sale,Condo,419000,468,400,2,1.0,896,1.9acre lot,2,1983,Thu Sep 30 16:46:41 2021,826 Cinnamon Ln, Duarte,CA,91010
"2136 Citrus View Ave, Duarte, CA 91010",Pending,Single Family,650000,398,400,3,2.0,"1,632","5,320sqft lot",2,1951,Thu Sep 30 16:46:41 2021,2136 Citrus View Ave, Duarte,CA,91010
"1916 Chesson St, Duarte, CA 91010",Pending,Single Family,580000,703,400,2,1.0,825,"5,515sqft lot",2,1948,Thu Sep 30 16:46:41 2021,1916 Chesson St, Duarte,CA,91010
"863 Swiss Trails Rd, Duarte, CA 91010",For Sale,Townhome,659000,453,315,3,2.0,"1,454","1,495sqft lot",2,1986,Thu Sep 30 16:46:41 2021,863 Swiss Trails Rd, Duarte,CA,91010
"2842 Conata St, Duarte, CA 91010",Contingent,Single Family,900000,539,315,4,2.0,"1,670","7,920sqft lot",2,1954,Thu Sep 30 16:46:41 2021,2842 Conata St, Duarte,CA,91010
"411 Woodmere Pl, Duarte, CA 91010",Pending,Single Family,899950,515,315,3,2.0,"1,747",0.25acre lot,2,1964,Thu Sep 30 16:46:41 2021,411 Woodmere Pl, Duarte,CA,91010
"844 Junipero Dr Unit C, Duarte, CA 91010",Contingent,Condo,428000,363,225,3,1.0,"1,178","7,074sqft lot",1,1975,Thu Sep 30 16:46:41 2021,844 Junipero Dr Unit C, Duarte,CA,91010
"1214 Huntington Dr Unit H, Duarte, CA 91010",Contingent,Condo,398000,416,200,2,2.0,956,No Info,1,1980,Thu Sep 30 16:46:41 2021,1214 Huntington Dr Unit H, Duarte,CA,91010
"907 Cabrillo Dr, Duarte, CA 91010",Contingent,Condo,415000,499,209,2,1.0,832,"8,049sqft lot",1,1972,Thu Sep 30 16:46:41 2021,907 Cabrillo Dr, Duarte,CA,91010
"957 Maynard Dr, Duarte, CA 91010",Contingent,Single Family,600000,645,209,2,2.0,930,"6,229sqft lot",1,1949,Thu Sep 30 16:46:41 2021,957 Maynard Dr, Duarte,CA,91010
"2600 Huntington Dr Unit F, Duarte, CA 91010",Contingent,Condo,499900,376,325,2,3.0,"1,330",0.83acre lot,2,1980,Thu Sep 30 16:46:41 2021,2600 Huntington Dr Unit F, Duarte,CA,91010
"895 San Juan Cir, Duarte, CA 91010",Contingent,Single Family,649000,409,325,3,2.0,"1,585","3,146sqft lot",2,1980,Thu Sep 30 16:46:41 2021,895 San Juan Cir, Duarte,CA,91010
"2508 Bloomdale St, Duarte, CA 91010",Pending,Single Family,550000,398,325,3,2.0,"1,381","5,242sqft lot",2,1950,Thu Sep 30 16:46:41 2021,2508 Bloomdale St, Duarte,CA,91010
"2497 Calle Villada Cir, Duarte, CA 91010",Pending,Single Family,639000,400,325,3,2.0,"1,598","1,777sqft lot",1,1979,Thu Sep 30 16:46:41 2021,2497 Calle Villada Cir, Duarte,CA,91010
"3339 Tannencrest Dr, Duarte, CA 91010",Contingent,Single Family,849000,505,325,4,2.0,"1,681","7,449sqft lot",3,1978,Thu Sep 30 16:46:41 2021,3339 Tannencrest Dr, Duarte,CA,91010
"806 Lewiston St, Duarte, CA 91010",For Sale,Single Family,818000,394,325,4,3.0,"2,077","6,418sqft lot",2,1949,Thu Sep 30 16:46:41 2021,806 Lewiston St, Duarte,CA,91010
"938 Huntington Dr Unit F, Duarte, CA 91010",For Sale,Condo,549888,398,245,3,3.0,"1,381",0.78acre lot,2,1979,Thu Sep 30 16:46:41 2021,938 Huntington Dr Unit F, Duarte,CA,91010
"1928 Earlington Ave, Duarte, CA 91010",Pending,Single Family,535000,667,245,2,1.0,802,"6,254sqft lot",1,1949,Thu Sep 30 16:46:41 2021,1928 Earlington Ave, Duarte,CA,91010
"3466 Conata St, Duarte, CA 91010",Contingent,Single Family,749000,517,245,4,2.0,"1,450","6,865sqft lot",2,1964,Thu Sep 30 16:46:41 2021,3466 Conata St, Duarte,CA,91010
"1543 Delford Ave, Duarte, CA 91010",For Sale,Single Family,719999,607,245,3,1.0,"1,186","9,969sqft lot",1,1948,Thu Sep 30 16:46:41 2021,1543 Delford Ave, Duarte,CA,91010
"1252 E Duarte Rd, Duarte, CA 91010",Pending,Single Family,785000,442,180,4,4.0,"1,778","1,182sqft lot",2,2006,Thu Sep 30 16:46:41 2021,1252 E Duarte Rd, Duarte,CA,91010
"2602 Fernley Dr, Duarte, CA 91010",For Sale,Single Family,614900,625,180,3,2.0,984,"6,320sqft lot",2,1955,Thu Sep 30 16:46:41 2021,2602 Fernley Dr, Duarte,CA,91010
"815 Meridian St, Duarte, CA 91010",For Sale,Single Family,1000000,625,180,2,1.0,"1,600",0.49acre lot,4,1926,Thu Sep 30 16:46:41 2021,815 Meridian St, Duarte,CA,91010
"1254 Duarte Rd, Duarte, CA 91010",For Sale,Single Family,790000,447,180,4,3.0,"1,769","1,182sqft lot",2,2006,Thu Sep 30 16:46:41 2021,1254 Duarte Rd, Duarte,CA,91010
"2311 Park Rose Ave, Duarte, CA 91010",Pending,Single Family,565000,589,180,3,1.0,960,"7,006sqft lot",2,1952,Thu Sep 30 16:46:41 2021,2311 Park Rose Ave, Duarte,CA,91010
"1903 Earlington Ave, Duarte, CA 91010",Contingent,Single Family,699900,575,180,3,2.0,"1,217","6,558sqft lot",2,1949,Thu Sep 30 16:46:41 2021,1903 Earlington Ave, Duarte,CA,91010
"318 Bettyhill Ave, Duarte, CA 91010",Pending,Single Family,750000,520,180,3,2.0,"1,441",0.29acre lot,2,1957,Thu Sep 30 16:46:41 2021,318 Bettyhill Ave, Duarte,CA,91010
"2103 Goodall Ave, Duarte, CA 91010",Pending,Single Family,525000,561,180,3,1.0,936,"7,073sqft lot",2,1952,Thu Sep 30 16:46:41 2021,2103 Goodall Ave, Duarte,CA,91010
"2065 Starhaven St, Duarte, CA 91010",For Sale,Single Family,595000,601,180,3,1.0,990,"5,223sqft lot",2,1951,Thu Sep 30 16:46:41 2021,2065 Starhaven St, Duarte,CA,91010
"2333 Bloomdale St, Duarte, CA 91010",Contingent,Single Family,599000,701,180,2,1.0,855,"5,050sqft lot",2,1950,Thu Sep 30 16:46:41 2021,2333 Bloomdale St, Duarte,CA,91010
"Opal Cyn, Duarte, CA 91010",Contingent,Land,399000,701,180,No Info,No Info,No Info,34.06acre lot,2,1950,Thu Sep 30 16:46:41 2021,Opal Cyn, Duarte,CA,91010
"1820 Huntington Dr, Duarte, CA 91010",Pending,Condo,475000,448,412,2,2.0,"1,060",0.75acre lot,2,1985,Thu Sep 30 16:46:41 2021,1820 Huntington Dr, Duarte,CA,91010
"765 El Sur St, Duarte, CA 91010",Pending,Single Family,499250,392,412,3,1.0,"1,275","9,849sqft lot",2,1949,Thu Sep 30 16:46:41 2021,765 El Sur St, Duarte,CA,91010
"2074 Goodall Ave, Duarte, CA 91010",Pending,Single Family,545000,588,412,3,1.0,927,"6,802sqft lot",1,1952,Thu Sep 30 16:46:41 2021,2074 Goodall Ave, Duarte,CA,91010
"3514 Conata St, Duarte, CA 91010",Pending,Single Family,699950,448,412,4,2.0,"1,564","7,109sqft lot",2,1966,Thu Sep 30 16:46:41 2021,3514 Conata St, Duarte,CA,91010
