Address,Status,Property Type,Price,Price per sqft,HOA Fees,Bed,Bath,Size,Garage,Year Built,Street,City,State,Zip
"4343 S Budlong Ave, Los Angeles, CA 90037",For Sale,Single Family,"749,000",446,No Info,4,3,"1,680",No Info,1922,4343 S Budlong Ave, Los Angeles,CA,90037
"10908 Jamie Ave, Pacoima, CA 91331",For Sale,Single Family,"710,000",435,No Info,3,2,"1,632",No Info,1957,10908 Jamie Ave, Pacoima,CA,91331
"158 S Hoover St, Los Angeles, CA 90004",For Sale,Single Family,"968,000",389,No Info,4,2,"2,486",No Info,1913,158 S Hoover St, Los Angeles,CA,90004
"2133 W 111th St, Los Angeles, CA 90047",For Sale,Single Family,"570,000",484,No Info,3,1,"1,178",No Info,1947,2133 W 111th St, Los Angeles,CA,90047
"3824 S Harvard Blvd, Los Angeles, CA 90062",For Sale,Single Family,"689,000",879,No Info,2,2,784,No Info,1921,3824 S Harvard Blvd, Los Angeles,CA,90062
"1850 Industrial St Apt 110, Los Angeles, CA 90021",For Sale,Condo,"795,000",716,778,1,1,"1,110",No Info,1925,1850 Industrial St Apt 110, Los Angeles,CA,90021
"1232 Meadowbrook Ave, Los Angeles, CA 90019",For Sale,Multi-Family,"1,600,000",552,778,4,3,"2,901",No Info,1925,1232 Meadowbrook Ave, Los Angeles,CA,90019
"2081 W 29th St, Los Angeles, CA 90018",For Sale,Single Family,"949,900",497,778,4,2,"1,911",No Info,1907,2081 W 29th St, Los Angeles,CA,90018
"267 S San Pedro St Unit 607, Los Angeles, CA 90012",For Sale,Condo,"539,999",509,759,2,2,"1,060",No Info,2006,267 S San Pedro St Unit 607, Los Angeles,CA,90012
"8828 Pershing Dr Apt 118, Playa Del Rey, CA 90293",For Sale,Condo,"829,000",517,505,2,2,"1,603",2,1981,8828 Pershing Dr Apt 118, Playa Del Rey,CA,90293
"268 W Ofarrell St, San Pedro, CA 90731",For Sale,Single Family,"625,000",898,505,4,1,696,2,1952,268 W Ofarrell St, San Pedro,CA,90731
"1779 W 37th Pl, Los Angeles, CA 90018",For Sale,Single Family,"730,000",735,505,2,1,993,2,1940,1779 W 37th Pl, Los Angeles,CA,90018
"616 N Martel Ave, Los Angeles, CA 90036",For Sale,Single Family,"4,688,000",1003,505,5,7,"4,676",2,2018,616 N Martel Ave, Los Angeles,CA,90036
"4533 Vista Del Monte Ave Apt 304, Sherman Oaks, CA 91403",For Sale,Condo,"799,000",509,570,2,2,"1,570",2,2006,4533 Vista Del Monte Ave Apt 304, Sherman Oaks,CA,91403
"645 W 9th St Apt 534, Los Angeles, CA 90015",For Sale,Condo,"560,000",709,570,1,1,790,1,2006,645 W 9th St Apt 534, Los Angeles,CA,90015
"8675 Falmouth Ave Apt 203, Playa Del Rey, CA 90293",For Sale,Condo,"575,000",764,432,1,1,753,1,1983,8675 Falmouth Ave Apt 203, Playa Del Rey,CA,90293
"2120 Brawley St, Los Angeles, CA 90032",For Sale,Multi-Family,"899,000",307,432,8,4,"2,924",3,1964,2120 Brawley St, Los Angeles,CA,90032
